model,years,soum_code,Prec_jan,Prec_jan_std,Prec_feb,Prec_feb_std,Prec_mar,Prec_mar_std,Prec_apr,Prec_apr_std,Prec_may,Prec_may_std,Prec_jun,Prec_jun_std,Prec_jul,Prec_jul_std,Prec_aug,Prec_aug_std,Prec_sep,Prec_sep_std,Prec_oct,Prec_oct_std,Prec_nov,Prec_nov_std,Prec_dec,Prec_dec_std
GFDL-ESM4,2021 - 2040,4349,3.2708333333333335,0.4443901876604488,2.3125,0.46351240544347894,4.0,0.7637626158259734,10.291666666666666,0.9565200236040831,19.833333333333332,2.5027762362802015,60.958333333333336,3.2336662199772914,86.20833333333333,2.9647817045367026,86.25,3.185252475602732,41.104166666666664,1.1768528535415501,13.458333333333334,0.789470638395684,5.770833333333333,0.4672429477501209,3.2083333333333335,0.45452967144315476
GFDL-ESM4,2021 - 2040,4401,1.0389610389610389,0.19350213539936806,0.7142857142857143,0.4517539514526256,1.9415584415584415,1.0208031787281362,2.4025974025974026,0.5756924742675715,6.532467532467533,0.6563261697918585,17.337662337662337,1.3874239383423672,34.5,1.938167564090759,28.292207792207794,1.7907602850132789,12.7012987012987,1.0327737845231713,4.422077922077922,1.9665464075757098,2.0454545454545454,0.8925442190719849,1.422077922077922,0.49389082778717974
GFDL-ESM4,2021 - 2040,4404,0.997979797979798,0.044901233880591654,0.9535353535353536,0.21987743661859876,1.4767676767676767,0.5987914229914603,2.727272727272727,0.5794142255862846,7.719191919191919,0.850392276407238,25.24848484848485,3.230672558317132,43.68484848484849,3.4765698768119546,33.14343434343434,2.3753005813475103,15.37979797979798,1.132261507251748,3.3373737373737375,0.8769305811515296,2.1535353535353536,0.4971257043463401,1.187878787878788,0.39061534652901864
GFDL-ESM4,2021 - 2040,4407,0.9937369519832986,0.07889120512605922,1.0041753653444676,0.09128689398361355,1.4718162839248434,0.5981347482836569,3.0918580375782883,0.8172951038248202,9.091858037578287,1.3163166220842433,27.00417536534447,4.413868741094398,45.5741127348643,4.598973970602618,37.2964509394572,3.5000459187554696,16.691022964509393,2.0147013945706047,3.7453027139874737,1.0144333456409915,1.9624217118997913,0.40177994063628375,1.1252609603340293,0.3310145799662395
GFDL-ESM4,2021 - 2040,4410,1.0977443609022557,0.2969686865884436,1.2105263157894737,0.40768245749551757,1.9210526315789473,0.9485685798155953,3.424812030075188,1.355850925280726,9.548872180451127,1.6946007377414576,32.09398496240601,5.2245265914757315,52.03383458646616,5.59359713466828,37.69172932330827,3.685330503389802,18.17669172932331,2.288164619519719,4.206766917293233,1.6448002136019235,2.8646616541353382,0.9983592169773261,1.6766917293233083,0.4988539072300262
GFDL-ESM4,2021 - 2040,4413,1.0,0.0,1.037037037037037,0.1888525745775105,2.1018518518518516,0.5974195769236494,4.453703703703703,0.7542176789695619,11.580246913580247,1.3573230510676557,34.71913580246913,2.9769906495044123,53.4320987654321,2.8617885782825745,45.95061728395062,1.7683865462576942,21.299382716049383,0.9812436624678723,4.910493827160494,0.9467363057778788,2.064814814814815,0.2813047690919132,1.1790123456790123,0.3833626556845491
GFDL-ESM4,2021 - 2040,4416,1.8666666666666667,0.33993463423951903,1.7,0.45825756949558394,2.3666666666666667,0.6046119049072353,4.4,0.5537749241945383,8.0,0.2581988897471611,24.733333333333334,0.8137703743822469,37.93333333333333,0.8919392106839769,41.43333333333333,1.0225241100118645,19.066666666666666,0.4422166387140533,6.666666666666667,0.9775252199076787,2.4,0.48989794855663565,1.2333333333333334,0.42295258468165065
GFDL-ESM4,2021 - 2040,4419,1.0,0.0,1.2428571428571429,0.4288094577086753,1.8678571428571429,0.866253662712756,4.046428571428572,1.2077080249254735,11.339285714285714,1.6243326730239287,36.357142857142854,5.08228214847766,54.16428571428571,4.302176715314693,41.871428571428574,3.1324177269844666,19.05,1.9321527594148156,4.889285714285714,1.573857700436888,2.4357142857142855,0.6291799002978207,1.4964285714285714,0.4999872447352624
GFDL-ESM4,2021 - 2040,4422,0.9841656516443362,0.28092884364278187,0.41169305724725946,0.4921401059268226,1.9330085261875762,0.8558144392174638,2.6297198538367845,0.5875638048814781,5.606577344701583,0.7693302545768769,15.596833130328868,1.7251989827294663,29.857490864799026,2.4150175784032997,24.367844092570035,1.269386131116417,12.460414129110841,1.242744330261539,3.0584652862362973,1.0511832357880218,1.6711327649208283,0.6196201800406027,1.0267965895249695,0.2076798195950998
GFDL-ESM4,2021 - 2040,4425,0.9816176470588235,0.13432960225327287,0.9908088235294118,0.09542902465012802,1.8529411764705883,0.48551688291821116,3.380514705882353,0.7202857070522343,9.036764705882353,1.1641589253449065,25.5625,3.787526693751788,43.56617647058823,3.6736386151526235,40.34007352941177,5.056679914657375,17.825367647058822,2.2493503663764773,4.494485294117647,0.9757947890678512,1.8841911764705883,0.39225977127082434,1.0514705882352942,0.22095557648995173
GFDL-ESM4,2021 - 2040,4428,0.9888535031847133,0.104986915489662,0.5031847133757962,0.4999898574978437,1.6098726114649682,0.8863964744327512,2.372611464968153,0.6009664684275546,6.648089171974522,0.6571843373018379,18.845541401273884,1.745794544680152,35.68471337579618,2.30396129670185,27.90764331210191,1.8812870442432323,13.30732484076433,0.8348369398478537,2.963375796178344,1.1525087861224028,1.9347133757961783,0.772046713636972,1.144904458598726,0.3520044836034566
GFDL-ESM4,2021 - 2040,4431,1.3983957219251337,0.4895677385989453,0.9812834224598931,0.3385601154260063,2.195187165775401,0.764785344212991,3.307486631016043,0.8475176672762252,6.304812834224599,0.9552155409512844,17.70855614973262,2.771721515824725,32.56417112299465,2.285129732827134,30.029411764705884,4.797134971215017,14.695187165775401,2.1595771873379697,5.351604278074866,1.2615922769859849,2.049465240641711,0.7213046947688129,1.4318181818181819,0.49532942540234925
GFDL-ESM4,2021 - 2040,4434,1.7622673434856175,0.5760278266916117,1.0482233502538072,0.3293988641528514,2.6548223350253806,0.825342831239319,4.265651438240271,0.6610926762253876,7.016920473773266,1.1472255912100968,18.361252115059223,2.2707485417417077,34.91878172588832,4.332441960158637,30.30710659898477,3.802385962202828,17.199661590524535,2.7702309005750805,6.0456852791878175,1.1442244415732514,2.05668358714044,0.6367231836310483,1.218274111675127,0.43502074088272313
