model,years,soum_code,Prec_jan,Prec_jan_std,Prec_feb,Prec_feb_std,Prec_mar,Prec_mar_std,Prec_apr,Prec_apr_std,Prec_may,Prec_may_std,Prec_jun,Prec_jun_std,Prec_jul,Prec_jul_std,Prec_aug,Prec_aug_std,Prec_sep,Prec_sep_std,Prec_oct,Prec_oct_std,Prec_nov,Prec_nov_std,Prec_dec,Prec_dec_std
ACCESS-CM2,2021 - 2040,1101,2.268292682926829,0.44307078352646223,2.658536585365854,0.5231124534031029,3.5853658536585367,0.8547031935578162,11.121951219512194,1.0637054871881233,15.634146341463415,1.2047891741686312,53.26829268292683,3.1158476922285487,92.26829268292683,1.8349505242735638,71.21951219512195,2.691560388143281,37.073170731707314,1.1559020108363696,9.536585365853659,0.7357611282438223,4.2439024390243905,0.4294345576014392,2.7560975609756095,0.4294345576014393
ACCESS-CM2,2021 - 2040,1104,1.0,0.0,1.7,0.45825756949558394,2.2,0.39999999999999997,7.3,0.45825756949558405,11.3,0.45825756949558394,48.4,0.7999999999999999,75.6,0.9165151389911681,70.5,1.02469507659596,29.1,0.7,6.1,0.3,3.0,0.0,2.0,0.0
ACCESS-CM2,2021 - 2040,1107,2.0,0.0,2.0,0.0,3.0,0.0,10.0,0.0,13.0,0.0,58.0,0.0,73.0,0.0,79.0,0.0,36.0,0.0,8.0,0.0,4.0,0.0,3.0,0.0
ACCESS-CM2,2021 - 2040,1110,1.8235294117647058,0.3812200410828153,2.3058823529411763,0.5535666049891101,4.047058823529412,0.8799182094736543,11.411764705882353,1.65418625914097,16.67058823529412,2.8007907929268736,63.61176470588235,4.584100701201308,84.63529411764706,6.565232953751468,82.94117647058823,3.4277515908913427,37.83529411764706,2.057108529399969,8.129411764705882,1.0714282418849386,3.847058823529412,0.4473683139254481,2.7294117647058824,0.4442637079646872
ACCESS-CM2,2021 - 2040,1113,1.7555555555555555,0.42975732457363813,2.0,0.6324555320336759,3.2888888888888888,0.8595146491472763,9.644444444444444,0.9464684195131936,14.222222222222221,1.5760553979108574,57.8,3.4679484809706542,82.91111111111111,4.293779594934577,77.77777777777777,2.421100657771529,34.77777777777778,2.5112094376029597,7.555555555555555,0.6516834799384524,3.911111111111111,0.28458329944145994,2.3333333333333335,0.4714045207910317
ACCESS-CM2,2021 - 2040,1116,1.7176470588235293,0.45014415222844684,2.1058823529411765,0.3764705882352941,4.129411764705883,0.837197499983868,10.470588235294118,0.9150793638884733,16.2,1.6506683138513747,60.141176470588235,2.8332186692314556,76.69411764705882,3.09847601785426,82.34117647058824,2.0554257676951484,36.35294117647059,1.1852612752711698,8.141176470588235,0.7993076588923779,3.8823529411764706,0.4949572698344148,2.8117647058823527,0.3908999464902624
ACCESS-CM2,2021 - 2040,1119,1.875,0.33071891388307384,2.25,0.4330127018922193,4.25,0.75,12.1875,1.2358574958303243,17.8125,2.7207248574598646,64.875,3.550968177835448,83.75,5.2141634036535525,85.25,2.358495283014151,38.4375,1.539835624344365,9.0,0.6123724356957945,3.8125,0.3903123748998999,2.8125,0.3903123748998999
ACCESS-CM2,2021 - 2040,1122,1.4166666666666667,0.4930066485916347,1.8888888888888888,0.3142696805273545,2.9166666666666665,0.6400954789890507,9.5,1.0408329997330663,13.61111111111111,1.4771928667009255,55.916666666666664,3.2606662577523085,73.63888888888889,4.756006598547998,78.13888888888889,2.3588224201657364,34.44444444444444,1.2570787221094177,7.083333333333333,0.7216878364870323,3.5555555555555554,0.4969039949999533,2.4722222222222223,0.4992277987669841
ACCESS-CM2,2021 - 2040,1125,1.8333333333333333,0.3726779962499649,2.3333333333333335,0.4714045207910317,3.6666666666666665,0.7453559924999298,11.0,0.816496580927726,16.0,1.7320508075688772,62.166666666666664,2.266911751455907,79.16666666666667,2.5440562537456244,83.16666666666667,1.343709624716425,37.166666666666664,0.8975274678557508,8.5,0.7637626158259734,3.6666666666666665,0.4714045207910317,2.6666666666666665,0.4714045207910317
ACCESS-CM2,2021 - 2040,2101,1.105263157894737,0.30689220499185793,1.0526315789473684,0.22329687826943603,2.3684210526315788,0.48237638894272,6.894736842105263,0.44659375653887207,15.210526315789474,0.40768245749551757,41.0,0.9176629354822471,79.78947368421052,2.015177865165963,63.473684210526315,0.7517293082676685,32.578947368421055,1.0913916501751433,7.0,0.0,2.0526315789473686,0.22329687826943603,2.0,0.0
