model,years,NAME_EN,Prec_jan,Prec_jan_std,Prec_feb,Prec_feb_std,Prec_mar,Prec_mar_std,Prec_apr,Prec_apr_std,Prec_may,Prec_may_std,Prec_jun,Prec_jun_std,Prec_jul,Prec_jul_std,Prec_aug,Prec_aug_std,Prec_sep,Prec_sep_std,Prec_oct,Prec_oct_std,Prec_nov,Prec_nov_std,Prec_dec,Prec_dec_std
ACCESS-CM2,2021 - 2040,Almaty Region,21.211143695014663,4.350969426056668,18.842324217417993,4.815418965133862,24.04671622451067,7.967201569657027,38.90124803928255,15.550440654186515,44.18604651162791,20.854275397807783,39.974902816613245,21.388500755142204,34.22430607651913,21.667688631598633,21.291754756871036,17.06810032300109,18.844847575530245,12.847311066488356,29.406533451544703,9.962446208324058,31.479369842460613,8.425115775393008,26.34003955534338,6.375572729237489
ACCESS-CM2,2021 - 2040,Altai Republic,15.234379583455558,6.347720496674929,12.834115576415371,6.0015812025832505,13.009533587562334,6.226326597891355,36.168964505720155,16.019226828216926,71.19947198591963,28.324230951185854,77.39821061894983,19.414674277985267,83.02464065708419,19.926485086832393,72.79524787327662,23.248634318123536,52.343795834555586,18.624645078680178,42.2414197711939,19.061989253482565,29.662657670871223,13.320320366989378,24.059841595775886,10.133847456681467
ACCESS-CM2,2021 - 2040,Altai krai,28.824188652813447,5.588572792842562,22.197914234570785,5.293412132909388,18.09206942174488,5.160254496337202,32.31216437076815,11.965313283782116,55.37473733364464,19.252140786845693,54.982722390847535,16.15383514656714,67.94949023270293,12.031492320920343,55.85438555529613,15.667682248940823,39.64861078683166,12.14184616034067,42.37722779982878,13.606263456004354,39.229200716009025,10.820340708490344,36.34002646120321,11.092509717889207
ACCESS-CM2,2021 - 2040,Altay Prefecture,7.272990677752582,3.1587985396066145,5.777777777777778,2.3164272539793,7.8704963466868225,2.7696222737002105,15.566137566137566,4.993492587956201,21.970521541950113,9.437740064278573,25.033509700176367,10.917883826716842,33.02103804484757,11.061166015907075,20.622323003275383,8.766373115598727,19.582766439909296,5.795804366530971,17.26379440665155,6.664678601079767,15.08641975308642,4.833674969673105,11.901108591584782,5.145861485834277
ACCESS-CM2,2021 - 2040,BayanUlgii,2.3804953560371516,1.6931268093067613,1.9808049535603716,1.3012032901144097,4.985758513931889,3.115294582855578,10.875851393188855,5.89025580422585,17.602476780185757,6.730264813051208,34.89566563467492,6.201214285336222,42.035913312693495,6.865533652909622,27.489783281733747,5.821470956866486,17.522291021671826,5.908274489622004,10.040557275541795,5.507767860956651,4.974613003095976,3.2330490677349775,3.386687306501548,2.5262723278298793
ACCESS-CM2,2021 - 2040,Bortala Mongol AP,10.91890205864005,4.831112599648486,10.687461010605116,4.698549567565808,17.39987523393637,6.633939840962076,31.65751715533375,12.951971765922421,44.95695570804741,19.167385449458003,48.96818465377417,21.535031122583018,44.53462258265752,21.86116843273321,30.756082345601996,16.347818560172282,25.035558328134748,12.12579555178765,21.940736119775423,9.107364385253058,17.63256394260761,9.09787976376941,13.656269494697442,6.99325066702276
ACCESS-CM2,2021 - 2040,Changji Hui AP,4.408843252305113,1.6066022373661624,4.170997485331098,1.5380386463327644,6.687761944677284,2.3500622103717115,15.133696563285834,5.4429661461246575,20.584450963956414,10.760878881606029,24.76173512154233,12.9778334199198,28.327116512992458,14.85787918913726,19.150880134115674,12.185295494979421,18.683151718357085,8.538617534243645,10.611902766135792,3.4869906686837777,7.8019698239731765,2.862885807617005,6.080888516345348,2.414973939138145
ACCESS-CM2,2021 - 2040,East Kazakhstan Region,21.907124169853088,5.427361822308236,18.652143288388007,4.749865843695058,17.52837593077078,3.957925451140831,30.421815254578387,8.266793956283033,47.61511370497082,15.684935051028814,42.59604548198833,11.444476129064638,48.435298852887904,13.090270887420868,29.086184342926142,13.403391507946907,26.14037029583417,10.68376826549067,32.38156570738579,8.994201654222547,33.84659891326223,7.68376951442597,28.712467297242906,7.710459446519447
ACCESS-CM2,2021 - 2040,Govi-Altai,0.9192963752665245,0.3442967177579966,0.8662046908315565,0.7213679618289565,2.1220682302771854,1.8665850794657273,4.8233475479744135,3.416757382578776,5.699786780383795,3.5032211734248024,17.343070362473348,7.388964857156537,29.426972281449892,9.70019110451183,22.086673773987208,8.52524492843101,9.772921108742004,4.7069145929416845,3.6485074626865672,2.770545063191078,1.1424307036247334,1.0075256577154459,0.785501066098081,0.6141914567309216
ACCESS-CM2,2021 - 2040,Ili Kazakh Autonomous Prefecture,7.240711551452375,3.2333852707071977,6.659705021391578,3.028163948691133,9.911562711101103,4.359506309337562,20.044922314793965,8.287729064750426,30.76080837649178,14.83981624112099,34.25433460932222,17.561105265964873,38.893830218419275,16.824172791719775,26.284902049088043,14.069781199591073,22.596205809502365,9.539417342782844,17.559671245215043,6.716111644591056,13.854987615401937,5.585069362174607,10.78022967800045,4.929553359274895
ACCESS-CM2,2021 - 2040,Khovd,1.5701550387596899,0.8507411128417751,1.5151162790697674,0.9761517675550679,3.7974806201550386,2.4365342351548818,8.367635658914729,4.3600013146964525,11.319961240310077,4.349390583531226,23.813953488372093,7.6537901052080635,33.017248062015504,9.009184212722888,22.39437984496124,6.48809937733204,12.391085271317829,4.112864811991886,6.681782945736434,3.431146880290577,3.849031007751938,1.885244373516529,2.1292635658914727,1.1399018386908806
ACCESS-CM2,2021 - 2040,Pavlodar Region,19.196982575435616,2.0705982735651824,14.061942201444964,1.4458966257422885,10.096153846153847,1.49535265230042,17.29759881002975,1.4741513341881427,31.52836804079898,3.057867757157277,36.968763280917976,2.3629186736684815,51.93731406714832,2.7504397380447267,36.04813004674883,4.990952258895707,22.76625584360391,2.227779326689294,25.577879303017426,1.153069890890202,23.98013174670633,1.9233418862859724,20.03283042923927,1.7796380834813952
ACCESS-CM2,2021 - 2040,Tyva Republic,9.62822446225891,4.803550914428678,6.707040241288992,3.6747442333606464,8.62179538058576,4.5566244974474515,21.191285022620843,9.184983288876715,34.19771410429399,11.892060561002655,59.679498372886734,12.94099332482521,85.07222795459957,20.13436150219679,71.42416064767045,18.73401169906567,40.387808556234624,12.422117615910581,21.652908961028654,9.772843322970692,17.51289784903564,8.343685337705788,14.659655528216526,7.526499487258885
