model,years,NAME_EN,Temp_max_jan,Temp_max_jan_std,Temp_max_feb,Temp_max_feb_std,Temp_max_mar,Temp_max_mar_std,Temp_max_apr,Temp_max_apr_std,Temp_max_may,Temp_max_may_std,Temp_max_jun,Temp_max_jun_std,Temp_max_jul,Temp_max_jul_std,Temp_max_aug,Temp_max_aug_std,Temp_max_sep,Temp_max_sep_std,Temp_max_oct,Temp_max_oct_std,Temp_max_nov,Temp_max_nov_std,Temp_max_dec,Temp_max_dec_std
HadGEM3-GC31-LL,2021 - 2040,Almaty Region,-3.6708522833833457,3.2425382896621064,-1.680699693744459,3.0272606917220366,5.929823364932142,4.108735774420552,17.278483683420855,5.06566632257832,23.479860021823637,5.593256567230579,29.224154760280978,5.900074623091718,32.76043229557389,5.648612831779433,31.71583662961195,5.124854710155261,26.118951612903224,4.862493585801983,16.108851786810337,4.006379778102929,6.842917760690172,3.414705794445683,-0.08093162650570312,3.094244593855816
HadGEM3-GC31-LL,2021 - 2040,Altai Republic,-12.191610213772368,3.774703508148992,-8.81808436766647,3.78180867891467,-3.003886770313875,3.7603044508057053,5.393502264227046,4.068701994424045,13.07735383360223,4.335259718341915,19.093194256013494,3.8971833631457735,21.58002255060135,3.8805518751350507,19.391816698445293,3.4170723867087927,14.913727907744207,3.2161428836984354,5.570783450058668,3.557481718771652,-4.630331704678792,3.4032434899350776,-9.859856262833675,3.863694821556612
HadGEM3-GC31-LL,2021 - 2040,Altai krai,-8.617720737022337,1.5544356267021973,-5.7614211222663245,1.2850998306589216,-0.23477314169633823,0.9423759799117732,11.615019894544323,1.8293709988384295,20.97303292084987,1.8596452499940272,26.862591446805197,1.842295565124489,29.37556911043661,1.4403354524109744,26.38105591874854,1.4435638168633038,21.071703050821075,1.2639468945502175,10.461001342516928,1.1231192263729366,0.1736010660484279,1.0094851537030434,-4.8276598616623865,1.1151581416029157
HadGEM3-GC31-LL,2021 - 2040,Altay Prefecture,-10.070017243008314,2.506405097954407,-6.630499161470143,2.7968921967405573,1.162471802957294,4.151254797969625,13.32683275856639,6.00316793494152,21.40593505920887,6.242138218511594,26.640514770723104,5.824592202355126,29.5136684303351,5.829928673951758,28.109170288485764,5.748608016335573,22.247391896573443,5.2747740754053805,12.228483638825901,4.898033987131459,0.8876541610567839,3.8113135687502084,-6.98435334782061,2.78322406726673
HadGEM3-GC31-LL,2021 - 2040,BayanUlgii,-14.74804929373065,1.8173623257621783,-10.839721604102166,2.4187818800262053,-3.866377829914861,3.1908581046113658,4.322012867647059,3.634527614189282,12.139287441950465,3.9179844193269644,17.64854392414861,3.4571068383124106,19.765511319659442,3.2469570269718044,18.480217202012383,3.144084123533799,13.509474167956656,3.189630541881467,4.259597523219814,3.222135972482286,-5.781981666021672,2.57510174927366,-12.171052631578947,1.9618957967629436
HadGEM3-GC31-LL,2021 - 2040,Bortala Mongol AP,-7.740736363459139,2.1249417427410013,-4.725265188806144,2.7853536758164754,3.7346850875311914,5.27480691563299,15.417403403774173,7.5693378037922345,21.098565190268246,8.035516403406486,26.15751715533375,8.00018076857463,29.2590114238927,7.738104682177564,28.813723292264505,7.242203118112757,22.980412702744854,6.916085774466014,13.522645527916406,5.52231158872446,3.5656270713116034,3.7019204054301884,-3.925826636092483,2.32114299096869
HadGEM3-GC31-LL,2021 - 2040,Changji Hui AP,-7.844971317057837,2.284877274401269,-3.7630342034262365,2.4682764819553564,5.744237217099749,3.2400111401550036,17.873344837070412,5.114369858065964,25.06320233916597,5.859628914517885,29.732796783319362,6.02097125750107,32.48059644803018,5.930668919366745,31.74956124266555,5.510689312611794,25.70138306789606,5.096184064772312,15.466554576173513,4.128436801563328,4.096291272658215,2.536770009924322,-4.406538139145012,1.8250995253867504
HadGEM3-GC31-LL,2021 - 2040,East Kazakhstan Region,-8.13769354372107,1.6650878678895291,-5.827998434041055,1.696665325748854,0.0737370955293916,2.5600088161044328,13.450755622358624,4.05689599043084,21.647560185651038,3.892237728792356,27.29695361239686,3.969079614177146,30.218070788891126,3.7696808938197397,28.148813267256994,3.6773516456296953,22.805512930167037,3.2226747702668304,12.247986736516403,2.7536292117141383,1.7362196398923324,2.2579375807625643,-4.644047783759308,1.828131587744877
HadGEM3-GC31-LL,2021 - 2040,Govi-Altai,-9.170522388059702,2.798614857695793,-4.634018939898721,3.3017556041597054,4.331844682835821,3.840344665005911,12.477184668176973,4.224981015026096,20.68451992270789,4.2368204342563605,25.687443363539444,4.190020890086459,28.065691631130065,4.2142243010400815,26.713422841151385,4.246568409182627,20.79910381130064,3.9627615280120407,11.328304904051173,3.5027158977789363,0.7415031774720149,2.788526078179536,-6.7178787979744135,2.449282823092981
HadGEM3-GC31-LL,2021 - 2040,Ili Kazakh Autonomous Prefecture,-9.12353020856789,2.894514178950756,-5.862649266071831,3.050538876151843,2.3082076108984464,4.594982137717136,14.391010259513623,6.371830041356295,21.2056019196127,6.9389486004008285,26.158925706485025,6.820719720536747,29.101013637131278,6.6753037656191605,28.209215266831794,6.275876315464031,22.58384408072506,5.800709950980774,12.778693037885612,5.075443027906105,1.9114558411675298,3.9035737215260657,-5.906952350962621,2.994740488799949
HadGEM3-GC31-LL,2021 - 2040,Khovd,-13.568313953488373,2.7204647061003695,-8.802189316860465,2.3781289167813644,1.3232946114946706,3.250896118154092,10.75947644137597,4.381521203256275,18.784341690891473,4.7341206266762486,24.03501847141473,4.707138372109563,25.958663396317828,4.544910111685922,24.67835210755814,4.428816657562355,18.925794876453487,4.208831069888274,9.709534732315891,3.8158337707848387,-1.594651238493217,2.517445806896285,-10.572790243459302,2.2116753180549957
HadGEM3-GC31-LL,2021 - 2040,Pavlodar Region,-9.347173986665958,1.398717411007629,-6.740193702188695,1.2681627859642264,0.23901403502510093,0.9666976029330417,14.596940740543987,1.0173741522649724,23.04171204313642,0.6611625724033009,29.480344241393965,0.6931272527818712,31.329506215469614,0.7721675249023715,28.118233372290693,0.7227167901229465,22.749905373459413,0.8709366079859532,10.913419205535487,0.6644432430047363,0.7369422118206811,0.8954900182106674,-5.076668249309392,0.9694437224879942
