model,years,NAME_EN,Prec_jan,Prec_jan_std,Prec_feb,Prec_feb_std,Prec_mar,Prec_mar_std,Prec_apr,Prec_apr_std,Prec_may,Prec_may_std,Prec_jun,Prec_jun_std,Prec_jul,Prec_jul_std,Prec_aug,Prec_aug_std,Prec_sep,Prec_sep_std,Prec_oct,Prec_oct_std,Prec_nov,Prec_nov_std,Prec_dec,Prec_dec_std
CMCC-ESM2,2021 - 2040,Almaty Region,18.75202891631999,3.685297962084,16.776648707631452,3.9595024590144683,23.8926549819273,7.855741901648262,34.52724544772557,13.295258039720123,37.08422560185501,16.946914522853294,38.842256018550096,22.327462750263727,35.13326058787424,21.717240140531427,20.18475073313783,16.518714647099586,21.64632067107686,16.016439882772378,29.279956352724543,10.113776057981351,27.261201664052376,7.0020680571851095,24.874309486462526,5.719710583768906
CMCC-ESM2,2021 - 2040,Altai Republic,13.928718099149311,5.805583905823803,13.135083602229393,6.355353909969615,12.217659137577002,5.91941327176397,37.161924317981814,16.277096169690655,59.46670577882077,22.992763991807415,69.74948665297741,15.547607237736093,88.77544734526253,19.322885242299176,81.3838369023174,27.389722617775973,53.70225872689939,17.75278222699201,42.052508066881785,18.3820684451318,23.580082135523615,10.269489731908301,22.341449105309476,9.622358235462006
CMCC-ESM2,2021 - 2040,Altai krai,27.56323449295665,5.304362848887876,24.174566114094482,5.407594387972959,17.02007938360962,4.808228506230155,32.0233481204763,12.311971271550085,46.30313643085065,15.418236727463196,50.68542299011596,14.03892191326436,75.07907230134641,11.623178107721888,59.816405945988016,19.759708932550584,39.27893221262355,12.757379973544591,42.34010428827146,12.507672932647122,31.180403144213557,8.382769507603873,34.10607829403067,10.43497301317835
CMCC-ESM2,2021 - 2040,Altay Prefecture,6.8325774754346185,2.7806446762263834,5.6429831191735955,2.0834267298713676,7.696523053665911,2.484315222754902,14.73015873015873,4.667827304109771,19.845301083396322,7.595549327109304,22.355505165028976,9.756643080774742,35.214789619551524,13.553849116128212,21.09649785840262,9.603293208243464,20.147896195515244,6.23310889473574,17.16742252456538,6.393245044194595,12.932224741748552,3.7789703484967205,11.30952380952381,4.851180332381383
CMCC-ESM2,2021 - 2040,BayanUlgii,2.345201238390093,1.6235591963790768,1.9823529411764707,1.3079885672859652,4.927863777089783,3.0042380931182886,11.23188854489164,5.993425590041744,16.45201238390093,5.926747418238689,33.252321981424146,5.601010456856337,49.22631578947368,7.76456113675506,30.53003095975232,6.344461688487728,19.65077399380805,6.13824414605669,10.382662538699691,5.793746738512204,4.4374613003095975,2.50626874630158,3.3077399380804953,2.4167953669436915
CMCC-ESM2,2021 - 2040,Bortala Mongol AP,9.762944479101684,4.534192472062797,9.406113537117903,4.240774368085181,16.647535870243292,6.8405718646351925,26.847161572052403,12.192609836016263,37.46038677479726,15.567297699969503,44.9638178415471,19.87710058163998,42.16094822208359,21.134605223791233,27.46288209606987,14.343581458651053,29.152214597629445,13.967944310844516,21.94260761072988,8.923208816529964,15.915159076731129,7.728731371019894,12.573923892701185,6.527450076657287
CMCC-ESM2,2021 - 2040,Changji Hui AP,4.408843252305113,1.6066022373661624,4.170997485331098,1.5380386463327644,6.640192791282481,2.286261815585256,13.204107292539815,4.308639625043698,18.886420787929588,9.58174387076797,22.67162615255658,12.314988228807259,28.049664710813076,14.522197575979298,19.014249790444257,11.971773093775779,18.273889354568315,8.47985911477108,10.574601844090529,3.429582663702945,7.763830678960604,2.860138698182168,6.080888516345348,2.414973939138145
CMCC-ESM2,2021 - 2040,East Kazakhstan Region,19.698128396055544,4.844351194690695,18.07924129603542,5.020997342829485,16.67689675991145,3.7958244036849162,29.15304890319984,8.249604127778904,38.22418997786275,12.132720573130632,37.78863956530489,10.407444746856806,49.98903199839002,14.594305110110374,29.561279935600723,15.224958921842353,26.519168846850473,11.520117451277706,32.129251358422216,8.70888538839509,26.62874823908231,5.237456304713278,25.839102435097605,6.530604490276864
CMCC-ESM2,2021 - 2040,Govi-Altai,0.9192963752665245,0.3442967177579966,0.8662046908315565,0.7213679618289565,2.1220682302771854,1.8665850794657273,4.769722814498934,3.2942510057108003,5.725479744136461,3.5552314428266194,17.38230277185501,7.173074076863222,29.464392324093815,10.005569382128172,21.882515991471216,8.617657609098584,9.504904051172709,4.532972948752293,3.6488272921108744,2.7721435883896053,1.1424307036247334,1.0075256577154459,0.785501066098081,0.6141914567309216
CMCC-ESM2,2021 - 2040,Ili Kazakh Autonomous Prefecture,6.786984913307814,2.8303167712983357,6.395068678225625,2.7647926435163686,9.554886286872327,4.059132038836455,17.356957892366584,6.702350350841713,26.94336861067327,12.293653816603198,31.469094798468813,16.910792261224618,39.41904976356676,16.992913131293395,25.58691736095474,13.381635187877253,23.99921188921414,10.452754466561188,17.490655257824816,6.531372718380065,12.341420851159649,4.505433948847084,10.26818284170232,4.591990379358282
CMCC-ESM2,2021 - 2040,Khovd,1.5701550387596899,0.8507411128417751,1.5151162790697674,0.9761517675550679,3.780232558139535,2.3803452179819264,8.64205426356589,4.462676271132764,11.35077519379845,4.193551179143737,22.430426356589148,7.539084504570649,36.67693798449612,10.861160940739722,24.745736434108526,7.597128259480561,13.035077519379845,4.367973892346806,6.785271317829458,3.641920031457847,3.7001937984496123,1.6422946585153035,2.1292635658914727,1.1399018386908806
