model,years,NAME_EN,Temp_max_jan,Temp_max_jan_std,Temp_max_feb,Temp_max_feb_std,Temp_max_mar,Temp_max_mar_std,Temp_max_apr,Temp_max_apr_std,Temp_max_may,Temp_max_may_std,Temp_max_jun,Temp_max_jun_std,Temp_max_jul,Temp_max_jul_std,Temp_max_aug,Temp_max_aug_std,Temp_max_sep,Temp_max_sep_std,Temp_max_oct,Temp_max_oct_std,Temp_max_nov,Temp_max_nov_std,Temp_max_dec,Temp_max_dec_std
CMCC-ESM2,2021 - 2040,Almaty Region,-3.857164664035327,3.3455786867028845,-3.292770547040169,2.965969594711424,4.908081778967469,4.001603825448473,17.072891802496077,4.986568282071644,23.062994441792267,5.528638346191556,27.32444758917002,5.906459365536089,30.66064882697947,5.646755304409495,30.159566169951578,5.162831340206885,24.22187009820637,4.96642327119536,14.868368725704153,4.003914652720184,5.126563245925118,3.4483621079852527,-1.3000137463343109,3.2584992915081963
CMCC-ESM2,2021 - 2040,Altai Republic,-11.723012613669697,3.644289332156646,-9.979436326635376,3.5635589394824687,-2.963376184823262,3.7748963358882044,6.106849515987093,3.9714519240972868,12.698005280140803,4.308562380969202,17.79141954202112,3.9216671384752466,19.58125550014667,3.7903697684133912,17.437899906497506,3.351269924252555,13.256849974332649,3.3028682783428738,3.825286122213259,3.521006835004561,-5.661484306248167,3.2652823679264236,-9.985493363156351,3.49701116186206
CMCC-ESM2,2021 - 2040,Altai krai,-8.124429673515449,1.3831558887261188,-7.643971563934937,1.514367222740619,-1.2157910513464083,1.3770340365078029,11.617115145147482,1.8044674879288465,20.489773036812203,1.8223557043773404,25.391102906841,1.780038939985042,26.818427017666746,1.4379585469355638,24.32775410537785,1.547243496804816,19.38021562962098,1.2222447009212387,9.254346155342828,1.087809452726339,-2.016865064888318,1.1711854038457685,-5.964744338080784,1.2208334138831167
CMCC-ESM2,2021 - 2040,Altay Prefecture,-9.86801421957672,2.466497328448797,-7.762017943751575,2.7129491410627393,0.9231670568979907,4.127700637183513,13.55783592372134,5.897390835945879,20.365431705089442,6.191301889362266,25.4008310500126,5.835763178625704,27.39455782312925,5.922104827773372,25.961211104812296,5.685707274152866,20.194418855505166,5.348486635601902,10.14171056153943,5.052383188879109,-1.3447846297083648,3.646827199335473,-7.097682331034266,2.6488810074816054
CMCC-ESM2,2021 - 2040,BayanUlgii,-14.433466766640867,1.7879742813728643,-11.917771623452012,2.389590417998882,-4.2251082381965945,3.1989285054253047,4.477708978328173,3.5775674964076067,10.952352215557276,3.817103315284918,16.17913482004644,3.370831608627387,17.624025251547987,3.286654488573091,16.446873790634676,3.1216671748343723,11.031487035603716,3.1338938091812794,1.973715200512771,3.240564223404893,-7.545789594620743,2.560919540534472,-12.004797552244582,1.9700493969667068
CMCC-ESM2,2021 - 2040,Bortala Mongol AP,-7.4530250896756085,2.144067660599211,-5.633437548736744,2.7899525374364855,3.2768557733546477,5.3474634926063835,15.375358215065502,7.57414738059262,20.795632213038054,8.033788184501585,24.695507446974425,8.07257117202613,27.32975768091079,7.8170842903128275,27.1168414691204,7.17103873416408,20.84061135371179,6.929734061813237,12.123706039457268,5.488987381710926,1.4519650655021834,3.6088044211808583,-4.70280729735262,2.313660284978501
CMCC-ESM2,2021 - 2040,Changji Hui AP,-7.410917526718357,2.1141274929689793,-4.932187843802389,2.3580281427745833,5.2016343710708295,3.3156366885119017,17.679610553751047,5.165615212194872,24.250753090947192,5.844092498750583,28.41188181056161,6.054557344322956,30.68908476529757,5.941205028188327,29.590426576906957,5.480473823694543,23.719488356559093,5.0778046846353435,14.023868071563285,4.082796993110586,1.7410519288951174,2.4935670767571554,-5.021060352053646,1.893059493086637
CMCC-ESM2,2021 - 2040,East Kazakhstan Region,-8.136984459901388,1.5717405707326566,-7.287517766401691,1.5860067017410282,-0.4223485905583367,2.28435327954298,13.370286400684241,3.7300583385537958,20.948560764238277,3.8785703445228297,25.708307129201046,3.8896872409589793,27.784752968404106,3.749640762257442,26.3707282023546,3.7750245733588907,20.873182481384585,3.1966366633574963,10.836849403803582,2.7790666664956287,-0.38767863193204116,2.0513077243773608,-5.777213646483196,1.5734628630621794
CMCC-ESM2,2021 - 2040,Govi-Altai,-9.16087420042644,2.705771699681889,-5.817590618336887,3.155090276107242,3.179637526652452,3.7599053393497672,12.155117270788912,4.179382131698251,19.31056436567164,4.301949059025625,24.3927621934968,4.174380166180614,25.560277851812366,4.236500434561348,24.687131863006396,4.269623905343521,18.507089552238806,4.014536465594854,9.610586853678038,3.6124429366311386,-1.4767269956023454,2.8508119779745225,-6.674008861940298,2.346236005820407
CMCC-ESM2,2021 - 2040,Ili Kazakh Autonomous Prefecture,-8.907509569916686,2.837628332586489,-6.978585552240486,2.9929049410882183,1.9621763996003152,4.596260076371387,14.542401415784733,6.33259726629638,20.54980226863319,6.799957482319777,24.828967645237558,6.84615214090146,27.174512004616076,6.667605170548136,26.200574195001124,6.213538691654369,20.51144519815357,5.809215824478934,11.042585249662238,5.140980220677716,-0.36620131700700853,3.800074570255864,-6.32974520096825,2.8382304030171484
CMCC-ESM2,2021 - 2040,Khovd,-13.59292484253876,2.77772395028973,-10.101491339631783,2.4613287533212973,0.7548449612403101,3.1767041723811675,10.606764020106588,4.38271300748849,17.424379239341086,4.709480235730317,22.67680323401163,4.703467989776021,23.547828851744185,4.612219106649135,22.400696463178296,4.397222028348045,16.557595990794574,4.170202114506769,7.631278766957364,3.8247422712621812,-3.852422480620155,2.629165203593844,-10.658720173207364,2.2038623382594125
CMCC-ESM2,2021 - 2040,Pavlodar Region,-8.821812413674033,1.2181388624170153,-8.936772039683383,1.365398828853528,-1.5429025529244582,1.3113903196910168,14.293158003081173,1.2685336326808778,22.734956040161496,0.7037571244708548,27.96028341478963,0.7396799929438844,29.295088716532085,0.6781102584342138,26.422990597110072,0.8362627490995795,21.01056165002125,0.7996632890966009,10.360317115118997,0.6045837294632165,-1.7193901817493624,1.0740383408848948,-6.938207208882278,0.9601450776549806
CMCC-ESM2,2021 - 2040,Tyva Republic,-17.866243104611478,2.7772366375114332,-14.277807266449718,2.621142452834664,-4.6838554275140885,2.4249430830654872,5.156226746666402,3.5757103280293627,13.426572793475673,3.8935583995602756,20.06359135645686,3.3509354094407247,21.0787364076514,3.1090844832576487,18.59976114175728,2.8304347994771897,13.40257163266926,2.822985675861122,2.9926662086276687,2.5512578823033887,-9.536788634018572,1.7072351400514294,-15.685364413842368,2.1395478438543742
CMCC-ESM2,2021 - 2040,Uvs,-19.617275175350702,3.4907438799193238,-15.993405561122245,3.498793751117069,-4.502765296217435,3.441242900125825,8.69110251753507,3.0309057689237484,17.37857746743487,3.549585769556322,23.177093248997995,3.758350804620708,24.253787262024048,3.576824846660015,22.230340368236472,3.3122287023226766,16.742164015531063,3.0391338393282337,7.060120240480962,2.838296781516532,-5.4274345566132265,2.235972720461273,-14.920019726953909,2.7022876784296175
CMCC-ESM2,2021 - 2040,Zavkhan,-17.988212552237506,3.2275895810168533,-14.03132481934529,3.08810760934958,-4.282169597771199,3.4637214451297273,6.607835762014626,3.480035035049266,14.813181536218005,3.0073423421081076,20.735884990423123,3.187227299905378,21.613913133379768,3.2684967863014065,19.884851667247084,2.965999859958769,14.482222923559116,2.6982002705772494,5.381647358741076,2.8263549633599343,-7.635817516977189,2.7742184635008567,-13.73263102907888,2.7353524434099006
