model,years,NAME_EN,Temp_min_jan,Temp_min_jan_std,Temp_min_feb,Temp_min_feb_std,Temp_min_mar,Temp_min_mar_std,Temp_min_apr,Temp_min_apr_std,Temp_min_may,Temp_min_may_std,Temp_min_jun,Temp_min_jun_std,Temp_min_jul,Temp_min_jul_std,Temp_min_aug,Temp_min_aug_std,Temp_min_sep,Temp_min_sep_std,Temp_min_oct,Temp_min_oct_std,Temp_min_nov,Temp_min_nov_std,Temp_min_dec,Temp_min_dec_std
ACCESS-CM2,2021 - 2040,Almaty Region,-12.813592247493691,3.216397112967043,-12.48444426447521,3.2693808255379646,-6.100300288140217,4.145494798599429,3.2297281529189115,4.000633616242169,9.310796093909842,4.118610242815434,14.942664998636022,4.7772821149076785,18.403102196003545,4.852772654592988,16.3991743674555,4.521630025117408,10.219566255200164,3.909530656058324,2.2581191285037168,3.6590626877414483,-4.726986611709745,3.7275182290347804,-9.066643081224852,3.411809343807828
ACCESS-CM2,2021 - 2040,Altai Republic,-20.305954825462013,4.1122305041691405,-19.648769800528015,3.8177211535506026,-15.286095858389556,3.4961782390808893,-5.620548318788501,2.8084864708792594,0.35051338999248316,2.9207887024521706,5.972249468319156,2.8263259180276825,8.92524154810795,2.844120956744133,7.1009677966412434,2.9717732852193346,1.163596419862863,2.9260326104519048,-4.9190962800674685,3.382557408372732,-13.696552324728659,3.9846045965773618,-18.42314461718979,4.468983868448256
ACCESS-CM2,2021 - 2040,Altai krai,-17.114849647832518,1.0617104617779825,-17.63156665888396,0.9195872124256363,-11.820350805510156,0.9667878805841681,-0.7079460980669702,1.2071658925253799,6.273281845863491,1.2782146945930497,12.934391781461592,1.602479602480651,16.076286335512492,1.5505833978068508,13.557551900926143,1.283766269005177,6.939116127714219,1.068858184655547,0.335551404778582,0.7997265911497876,-8.10474672153475,0.7371906845516376,-13.270582827457389,0.8419233384395186
ACCESS-CM2,2021 - 2040,Altay Prefecture,-19.8461966962711,3.0073147050328126,-18.10400525951121,2.985892597056811,-10.661816578483245,3.991818224844109,0.9329302829349332,4.747324398547883,7.608213655832704,4.860381020110275,13.643021502582515,4.77513953590394,16.634365551776266,4.840303127869227,14.868619496409675,4.715477012742352,8.077966545414462,4.492978994380363,0.1808516122015936,4.222489388450478,-8.938334593096497,3.9901444594636626,-16.23430216994205,3.5850398387687106
ACCESS-CM2,2021 - 2040,BayanUlgii,-24.995542279411765,1.8089026225429599,-23.10359181501548,2.23092521595144,-16.85445892995356,3.0909380651824314,-7.730061798568111,2.6079902798706533,-1.0520432983020511,2.8138919827416613,5.284674922600619,2.8711175970904903,7.856625507933437,2.9460753791363175,6.0168107827012385,2.912440340495639,-0.7445201389560758,2.6334616236681203,-7.838018817724458,2.590967366144536,-16.757337219427246,2.485918301787813,-23.45640963622291,2.145611280685919
ACCESS-CM2,2021 - 2040,Bortala Mongol AP,-16.53973750389894,2.465790733075539,-15.000187636462883,3.3377376853636296,-7.663942485768871,5.699045874240095,2.032252149290393,6.222376388917201,7.862320526941672,6.499388334034281,12.712414223331255,6.934232642928901,15.210730368839675,6.6809640559906445,13.893013100436681,6.6475414770520524,8.014161679273238,5.802034012617438,0.06918281655124181,5.371207266853698,-7.296943231441048,4.914643542639136,-12.483968048190892,3.2326776183681574
ACCESS-CM2,2021 - 2040,Changji Hui AP,-16.962720360959764,1.8001896422049346,-14.86211232187762,1.974271304009108,-6.0552809684094715,3.3575831784440884,4.405322552126991,4.283074178153046,10.897987282585918,4.502019218765365,16.650251466890193,4.912718272529245,19.440466523470242,5.003376401309072,18.049371660205363,4.704127053139488,11.40113225586756,4.127176557348303,2.8085708298407375,3.487238124734943,-6.070473350403395,2.6680001949151433,-13.354777870913663,1.6289592359224447
ACCESS-CM2,2021 - 2040,East Kazakhstan Region,-16.907413463473535,1.8268708706413899,-17.209509898873012,1.9528485772037527,-11.707642068323606,2.5678940304985294,-0.1894496365748893,2.718423586436109,6.556545110937814,2.832955857401761,12.961662306299054,3.082156622412943,16.146231636144094,2.957593785060888,13.866728403602334,2.678456827187321,6.979487667287181,2.347358288927782,-0.31229121038721325,2.0279557461749715,-8.104251830096599,1.9139649323688988,-13.444556248742202,1.7668494443372786
ACCESS-CM2,2021 - 2040,Govi-Altai,-20.63230277185501,2.7006299493688686,-16.83820962153518,2.5745446148466944,-10.019040678304904,3.155202483360397,-1.6730812316764392,3.371606212206694,5.905607842484009,3.439897684554423,12.539712153518124,3.4895903225205007,15.56949960021322,3.3051401451892812,14.037153518123667,3.448897133315237,6.55843300239872,3.253224133560833,-2.2039231160047974,2.7292124907460056,-10.795149253731344,2.6599338920823445,-17.334275053304903,2.4792454117684395
ACCESS-CM2,2021 - 2040,Ili Kazakh Autonomous Prefecture,-18.212631586354426,3.532112986105738,-16.3827579655483,3.6357358408012,-8.968324279441568,4.849765044215671,1.6737110298567328,5.275662254145911,7.962716026795767,5.527615555961257,13.504430484406665,5.879188767187088,16.26999127448773,5.952501952608795,14.783225554492232,5.69110034319047,8.3880935459356,5.165967129587527,0.42231473899107747,4.669349230409102,-8.122855564625084,4.321957896885342,-14.549538392253996,3.8168932507481736
