model,years,NAME_EN,Prec_jan,Prec_jan_std,Prec_feb,Prec_feb_std,Prec_mar,Prec_mar_std,Prec_apr,Prec_apr_std,Prec_may,Prec_may_std,Prec_jun,Prec_jun_std,Prec_jul,Prec_jul_std,Prec_aug,Prec_aug_std,Prec_sep,Prec_sep_std,Prec_oct,Prec_oct_std,Prec_nov,Prec_nov_std,Prec_dec,Prec_dec_std
EC-Earth3-Veg,2021 - 2040,Almaty Region,20.012275796221783,4.023254628423861,17.789129100456933,4.330164323697016,23.999318011321012,7.847789853029394,41.04910318488713,17.248077887128236,45.94598649662416,22.309961463487717,38.890609015890334,22.324402556919445,33.12691809315965,21.548396947235076,21.90609015890336,18.35570341683133,18.760894769146834,13.014609161656674,28.82977562572461,9.848124187948942,31.173225124462935,8.293119490236887,24.917274773238763,5.7900634634687975
EC-Earth3-Veg,2021 - 2040,Altai Republic,14.286447638603697,5.934886341098303,12.184218245819888,5.768012229120072,13.096802581402171,6.483298830674063,39.891023760633615,17.407030130224804,72.85772953945438,30.352258673427503,82.76034027574069,24.44708126428207,86.86447638603696,22.090903875896004,77.68436491639777,25.98563572253686,56.199325315341746,20.12748353770637,42.3093282487533,19.207748703471275,28.9901730712819,13.286805904593638,21.20959225579349,9.103939208020075
EC-Earth3-Veg,2021 - 2040,Altai krai,26.729083975406645,5.066112384622476,21.652969102653902,4.906548181154575,17.95820686434742,4.907650202990828,35.57381897423924,12.957680696875393,58.032765195735074,20.402741628769316,60.18491711417231,19.261044382930077,69.35512491244455,13.516104388061533,58.18437232469453,18.288174570683,42.44859522141801,14.012264335399232,43.30430383687447,13.836605214544718,38.318624017433265,10.43506675597339,33.16725036967858,9.58481064706718
EC-Earth3-Veg,2021 - 2040,Altay Prefecture,6.947341899722852,2.9429356703038905,5.632905013857394,2.087838219700652,7.794532627865961,2.6681751854711475,17.370496346686824,5.709867893709739,22.502771478961954,9.78610009041008,23.61363063744016,10.428559379840284,31.529856386999246,11.415818634532227,20.777651801461325,9.227169638634235,19.41509196271101,6.160358890987449,16.930209120685312,6.446626964979896,15.294910556815319,4.699386085175152,11.076719576719576,4.623930732800904
EC-Earth3-Veg,2021 - 2040,BayanUlgii,2.3260061919504644,1.5788575522320871,1.9777089783281734,1.2853539159703038,5.036842105263158,3.2065439951801546,12.189783281733746,6.597322443273897,18.36749226006192,6.965211801875557,34.59504643962848,6.08317785878569,43.10216718266254,6.736809950296601,28.59938080495356,6.105866811822727,17.96439628482972,5.972042853409404,10.454489164086688,5.802284430739987,4.852631578947369,3.1090526282246946,3.1755417956656347,2.21963290147118
EC-Earth3-Veg,2021 - 2040,Bortala Mongol AP,9.941983780411729,4.778539341215554,9.824079850280723,4.7291183663165,17.519650655021834,6.497858517831737,33.966313162819716,14.131019155647895,46.15845290081098,20.005516284854462,48.638802245789144,21.951427501876182,42.80536494073612,21.466003731378994,31.625701809107923,17.002392791229106,25.308796007485963,12.288996289538904,21.469744229569557,8.690896370483264,18.015595757953836,9.07371248893801,12.825327510917031,6.74909442427341
EC-Earth3-Veg,2021 - 2040,Changji Hui AP,4.408843252305113,1.6066022373661624,4.170997485331098,1.5380386463327644,6.853520536462699,2.577166601065075,15.602263202011736,5.702440903916584,21.348910310142497,11.874219119634452,23.700125733445095,13.382720526922393,26.66051969823973,14.297155048445305,19.512782900251466,13.170493802746746,18.644383906119028,9.437062880066165,10.619446772841576,3.46370582386239,8.093461860854987,3.1464770281399583,6.080888516345348,2.414973939138145
EC-Earth3-Veg,2021 - 2040,East Kazakhstan Region,20.589957737975446,4.932264859618413,17.9201046488227,4.219423923504633,17.175890521231636,3.638230615748762,33.90425638961562,9.819888353775298,49.17080901589857,17.01310432064138,40.7837089957738,12.024630013258925,46.43499698128396,13.123994592201683,30.018917287180518,14.451445563821023,26.7059770577581,12.196683683365894,32.62598108271282,9.05561721963008,33.215787884886296,7.503401944496798,26.058059971825315,6.5640220543437495
EC-Earth3-Veg,2021 - 2040,Govi-Altai,0.9192963752665245,0.3442967177579966,0.8662046908315565,0.7213679618289565,2.1230277185501065,1.871228289261447,4.839019189765459,3.4533275411176336,5.755863539445629,3.582814457313733,16.544669509594883,7.070074803465447,26.409381663113006,8.556733868736874,21.081449893390193,8.094140739801825,8.860980810234542,4.168195129448525,3.6578891257995734,2.7993900912929766,1.1424307036247334,1.0075256577154459,0.785501066098081,0.6141914567309216
EC-Earth3-Veg,2021 - 2040,Ili Kazakh Autonomous Prefecture,6.856957892366584,2.9377839876667107,6.419837874352623,2.859669646893659,10.11714703895519,4.398375993846288,21.56085341139383,8.75204231147424,31.60543796442243,15.678908269677795,33.16843053366359,18.175422519947446,36.978721008781804,16.623772320241258,26.693593785183516,15.11244953651583,22.3733956316145,9.699348558641967,17.28518351722585,6.518741537688068,14.121369061022293,5.407501067467799,10.272855212789912,4.548102080735867
EC-Earth3-Veg,2021 - 2040,Khovd,1.5701550387596899,0.8507411128417751,1.5151162790697674,0.9761517675550679,3.8215116279069767,2.5076863317083506,8.837790697674418,4.833090694536871,11.49515503875969,4.535302500871645,23.115891472868217,7.62092052390213,31.685077519379846,9.248624986519756,22.44496124031008,6.48597725616502,11.790116279069768,4.064015273287976,6.851550387596899,3.7365855054727644,3.847674418604651,1.8813791789341634,2.1292635658914727,1.1399018386908806
EC-Earth3-Veg,2021 - 2040,Pavlodar Region,18.41818954526137,1.7425698604155688,13.735019124521887,1.5461156549297286,9.98459413514662,1.5043062620229146,19.0615172120697,1.828708747618903,32.39385890352741,3.153950514972455,38.33266043348916,2.4021753179691623,50.57086697832554,2.8504242443661734,35.120590735231616,4.313940890748613,22.6483212919677,2.1852659128104177,25.87356566085848,1.350006813051294,24.294198895027623,2.0947174989255166,19.031236719082024,1.8219985595545622
EC-Earth3-Veg,2021 - 2040,Tyva Republic,8.932137471227875,4.642048382620992,6.6545757599809505,3.6723786685363495,8.54686879911104,4.492412083570187,21.59353916977538,9.359186593260594,34.64465433764585,11.89673708041578,60.02920866735455,13.176840193549488,88.36280657195016,20.658203667620473,73.77672831177078,18.4458822077325,39.91594570997698,11.758280579912919,21.522104928962616,9.554675102637056,17.241923962219225,8.310481428687874,13.60941344551155,7.149803212140049
EC-Earth3-Veg,2021 - 2040,Uvs,3.0741482965931866,1.570938803231718,2.7288577154308618,1.4851397840445508,4.118837675350702,2.2281910875750546,9.32745490981964,4.712345502585992,13.389178356713426,4.740145682194733,31.923446893787574,6.813765930452511,46.759919839679355,9.432200677085534,37.82645290581162,9.132247123152286,17.87735470941884,5.408464772819597,9.612825651302606,4.545428216020722,7.732264529058116,4.136215376094336,5.265130260521042,2.432752165606818
EC-Earth3-Veg,2021 - 2040,Zavkhan,1.6834407104300888,0.8938522409127219,1.588890823611353,0.6378249697746077,3.5624238203029774,1.312908298915769,10.426780428347554,3.5473209872639018,13.080619885077486,4.660242539254272,33.73236984154623,9.66488509546232,52.742991467873935,14.565891137974333,42.997039874629984,9.068498877563359,19.018979627372453,5.224424136746152,9.379418422427303,3.3862770467102368,4.364966045620756,1.6984506653964984,3.2826049103256136,1.8418364541099286
