model,years,NAME_EN,Temp_min_jan,Temp_min_jan_std,Temp_min_feb,Temp_min_feb_std,Temp_min_mar,Temp_min_mar_std,Temp_min_apr,Temp_min_apr_std,Temp_min_may,Temp_min_may_std,Temp_min_jun,Temp_min_jun_std,Temp_min_jul,Temp_min_jul_std,Temp_min_aug,Temp_min_aug_std,Temp_min_sep,Temp_min_sep_std,Temp_min_oct,Temp_min_oct_std,Temp_min_nov,Temp_min_nov_std,Temp_min_dec,Temp_min_dec_std
MRI-ESM2-0,2021 - 2040,Almaty Region,-14.362598462115528,3.3613607039548388,-12.961474033281048,3.389682582071506,-6.067598930982745,4.109666581218981,3.4621903877958125,3.958459522271581,9.489354582963923,4.121086913122308,14.762832043238083,4.821267882220955,17.782158963036213,4.881052249881797,15.639322827866057,4.48647049208733,9.91025028984519,3.874281338453699,2.0980562523443362,3.588615091125923,-5.076539376321353,3.7094886672573333,-10.243299461228943,3.4578951332046888
MRI-ESM2-0,2021 - 2040,Altai Republic,-21.747859526254032,4.31413344003551,-20.27676738046348,4.017994865932218,-15.63219487936345,3.7326664715501656,-5.350044230346143,2.822197173691941,0.7416250240631417,2.9397002094589766,6.110545499963332,2.747461876908935,8.36336146047228,2.796334180311661,6.469169959115576,2.819146283427209,1.2132737732381196,2.7668062595367027,-5.159827387063655,3.435065982842768,-14.367834913097683,4.027997071116551,-19.43842585802288,4.470306381465008
MRI-ESM2-0,2021 - 2040,Altai krai,-18.654283650478636,0.9843536900678325,-18.127653416608297,0.910638151486976,-11.334213752042961,1.0341157015186226,0.2584481130584092,1.23623231191341,6.786597570822632,1.2202124352220745,12.578433876177135,1.5170259474286754,14.878932699042727,1.4527574054783865,12.249824889096427,1.193389266186556,6.741372747879212,1.065388304844439,0.46805977878871896,0.830509733810686,-8.668868929488676,0.7226738983833032,-14.97127329947856,0.7073272821951775
MRI-ESM2-0,2021 - 2040,Altay Prefecture,-21.067483938019652,2.922234259467859,-18.65230536659108,3.0424129305153276,-10.88550032281431,4.266079963757665,1.4510456526360545,4.582603137306334,7.78751633755354,4.723011178554756,13.63366087175611,4.698139286320343,16.095578624968507,4.795046774985144,14.15298544186193,4.646499379895174,7.777576018833459,4.308812955099296,-0.18008320588073193,4.101651202474483,-9.89795918367347,3.996851981763323,-17.4505149281935,3.4628849928647956
MRI-ESM2-0,2021 - 2040,BayanUlgii,-26.334181501547988,1.725154137541553,-24.03092830882353,2.0531438068967085,-18.001980940402476,2.97146841071516,-7.022229344040247,2.5940813800978453,-0.5107120667448722,2.757901642818919,5.306810540828173,2.852494978011053,7.40040271865325,2.980472542296308,5.493034055727554,2.9197180312872435,-0.5770588310879451,2.6143785578691143,-8.08095914763932,2.5600635584160365,-17.799782314241487,2.435322483823554,-24.25541795665635,2.135754892209071
MRI-ESM2-0,2021 - 2040,Bortala Mongol AP,-18.43206585308796,2.427600681032847,-15.765190024563319,3.3799948730762828,-7.657829070492826,5.650523417259167,2.4636306619911883,6.284119822635213,8.052713661883967,6.522587835345598,12.509045539613226,6.959819558394215,14.693387398627573,6.738235958700687,13.283593018948846,6.657975150231257,7.813100680364941,5.822962319366688,0.02245791049131511,5.396267944956095,-7.7440419330941985,4.876215116744485,-13.484591878509045,3.2331553452395436
MRI-ESM2-0,2021 - 2040,Changji Hui AP,-18.821355367246436,1.8570629480525387,-15.641345347862531,1.9870796314382047,-6.210750045840318,3.4317669019593966,4.652682231637678,4.265510524600808,11.037258356035206,4.533435795594954,16.614229162300923,4.969330995184604,18.945432012259012,5.0295124499543125,17.401048761001675,4.71126270736774,10.94302130265088,4.128185919378611,2.3601845727682313,3.4858688180097763,-6.963034694572507,2.7105116305868426,-14.654108602263202,1.6501917249582527
MRI-ESM2-0,2021 - 2040,East Kazakhstan Region,-18.497511131515395,1.677233328194308,-17.622438808110285,1.8383062048273804,-11.352595466894748,2.578297505263328,0.48575160133452405,2.6814134536208822,6.733925337089958,2.788065320969658,12.535148388760314,2.9726864721621613,15.11254779633729,2.918696289575578,12.772776369742402,2.6682490889196075,6.6560023709498894,2.2868259785295058,-0.41192895954920505,2.0358472603712356,-9.08908278199839,1.9095599848094968,-15.109263370396459,1.6799967419994273
MRI-ESM2-0,2021 - 2040,Govi-Altai,-21.842983742004265,2.547594875506213,-18.306108408848615,2.821911297204278,-10.424275386460554,3.2807561022628158,-1.036524582722548,3.211548766517627,6.138133828624733,3.432482942408602,12.771311134061834,3.475531739957634,15.479327691897655,3.343219624380738,13.761194029850746,3.438581967106485,6.462185167910448,3.190116953891193,-2.437014842084222,2.6865833538105344,-11.759018523454158,2.6156382855647022,-18.533870269189766,2.406184490384318
MRI-ESM2-0,2021 - 2040,Ili Kazakh Autonomous Prefecture,-19.737835298919162,3.2946845117144736,-17.056888229002478,3.588180252948103,-9.019540045879307,5.036492746159989,2.1590070683686107,5.188746687798803,8.131136005404189,5.477205065241535,13.3853984885161,5.902161435654408,15.719652457216844,5.9586918217576965,14.107464535014635,5.658788522593594,8.073344439596937,5.086994764063451,0.147185337862918,4.606745326342684,-8.877887687176312,4.344034898104645,-15.757875830331006,3.731224164256028
MRI-ESM2-0,2021 - 2040,Khovd,-25.10943859011628,2.968350829601595,-21.506239401647285,2.647786811686414,-12.182054717781007,2.9160661005782322,-1.5573062394016473,3.40515581865555,5.369399527616279,3.6530707642607205,12.199535186531008,3.8717987232681303,14.395678900193799,3.780082278446497,12.392577367974805,3.689988177779255,5.537344809835271,3.2748546884252177,-3.0620930989583335,2.77393339522815,-13.393488069282945,2.3496511841341086,-21.648004481589147,2.30255417183317
MRI-ESM2-0,2021 - 2040,Pavlodar Region,-18.298076923076923,1.4298817058633915,-18.13658096047599,1.203053187172899,-10.146610543720781,0.798243775688238,1.4921058431058756,0.39559616288814764,8.011740331491712,0.5076960591811917,14.651199930939226,0.5786501516716521,16.790267743306416,0.6361196039246473,13.797183781342966,0.6353464049302567,7.96888031900765,0.5359509408816387,0.9080217574638759,0.5265844197755593,-8.096578835529112,0.5414629129137555,-14.653346459307267,0.9866342386417262
MRI-ESM2-0,2021 - 2040,Tyva Republic,-29.83431224700373,2.5152986267621995,-27.309533494721805,2.2892517262122882,-19.286363253035955,2.3924272145253735,-6.754639505119454,3.161405666953247,0.2810778478202635,2.98779389473206,6.281538341336614,3.0550935817487637,8.87285511250893,2.8575214309649892,6.472211956306056,2.775251791724297,0.4222954202714501,2.6351080678066707,-7.449782100761965,2.4283996651105046,-18.87169616636241,1.9466482394923337,-26.748615961584253,2.3053748102996128
MRI-ESM2-0,2021 - 2040,Uvs,-31.300237975951905,3.3284213687312225,-28.224668086172343,3.3851192821275546,-18.471782627755513,3.0395722451036975,-3.7859116670841684,2.3739290235022947,3.944909741357715,2.6235860107631552,10.76166238727455,2.8973547545281977,13.434869739478957,2.9417175235264827,11.068697551352706,2.9072120470971137,4.163527054108217,2.6703156326782547,-4.262344611097195,2.468236477559443,-15.191603519539077,2.4265085098484307,-26.056713426853708,2.672732123465873
MRI-ESM2-0,2021 - 2040,Zavkhan,-30.53533105519763,2.750793383109152,-27.268098119449764,3.307405857899348,-19.161744460647746,3.93775805715736,-5.853125544140693,2.679381991717841,0.9427477268522549,2.783861089898153,7.670764952986244,3.391325224171827,10.591641454814557,3.43853262419814,7.855371484851123,3.403076312071064,0.7167334486004702,3.013430440011675,-7.4276510534563815,2.4562545323311435,-18.67060715218527,2.985135812387592,-26.737261666376458,3.0036203418831224
