model,years,soum_code,Temp_max_jan,Temp_max_jan_std,Temp_max_feb,Temp_max_feb_std,Temp_max_mar,Temp_max_mar_std,Temp_max_apr,Temp_max_apr_std,Temp_max_may,Temp_max_may_std,Temp_max_jun,Temp_max_jun_std,Temp_max_jul,Temp_max_jul_std,Temp_max_aug,Temp_max_aug_std,Temp_max_sep,Temp_max_sep_std,Temp_max_oct,Temp_max_oct_std,Temp_max_nov,Temp_max_nov_std,Temp_max_dec,Temp_max_dec_std
BCC-CSM2-MR,2021 - 2040,4437,-7.989795918367347,0.5102545321984031,-1.705751323523017,0.4614492142287455,4.191094619666048,0.40092021636955427,15.822820037105751,0.4066910688707571,23.575697182282003,0.4167895537323301,28.866232679151206,0.4726380401252782,31.806495680658628,0.43554338321937663,28.85677143726809,0.5029094695975883,22.2623365752551,0.459622796325665,13.376252862650743,0.391363259502842,2.162152178875812,0.341305764029192,-6.122634689529221,0.7149397691878299
BCC-CSM2-MR,2021 - 2040,4440,-10.284025247104633,0.5272150379109982,-3.550638899635583,0.6624631447071213,3.190574962871905,0.6402804755915695,15.663897139576678,0.49776513500432396,23.524281462160545,0.4912182830388318,29.048722044728436,0.49821401721103814,31.863100289536742,0.48727836693400356,28.7202881639377,0.48378230399027294,22.33210925019968,0.49959185933186945,13.007029377995208,0.4886394167504305,0.3062300270738693,0.5523486070844135,-7.902875711361821,0.588243218183763
BCC-CSM2-MR,2021 - 2040,4501,-17.4499994913737,0.23629074095333377,-11.033332824707031,0.24944377905743045,-1.6166666348775227,0.1343709402925059,12.066666920979818,0.07453559925046752,20.466665903727215,0.12472238867042526,26.533335367838543,0.14907176717368137,29.200002034505207,0.08164919091319718,25.650001525878906,0.07637655294086756,19.11666742960612,0.10671914439069627,9.016666412353516,0.10671882169042989,-3.5833333333333335,0.12133515827148282,-13.950000762939453,0.18929699524102456
BCC-CSM2-MR,2021 - 2040,4504,-18.15625,0.4534158854919118,-11.978124618530273,0.39189791854990114,-2.065624952316284,0.21155580591523487,12.034374237060547,0.28351524917889476,20.474998474121094,0.3061861497184869,26.403125762939453,0.30463543642880453,29.115625381469727,0.3103519168425564,25.496875762939453,0.2530864174029315,18.946874618530273,0.2585831943969323,8.90625,0.22629838742207367,-4.162500381469727,0.23284925524339314,-14.625,0.3427827421920981
BCC-CSM2-MR,2021 - 2040,4507,-17.13532555621603,0.717787852282998,-11.053261134935463,0.6438591882435353,-2.2293478924295176,0.5471344399687262,11.284782077955162,0.6820580495258555,19.822281547214676,0.764208324665809,25.671195652173914,0.8263241532728782,28.28641410495924,0.7651229920848637,25.07174019191576,0.5937767933883635,18.744565217391305,0.48383965320858363,8.730978260869565,0.412398971108872,-3.8570652837338657,0.41000275926533314,-13.785326086956522,0.6379756119084271
BCC-CSM2-MR,2021 - 2040,4510,-17.287500381469727,0.23684132741885583,-11.08750057220459,0.0927025453870997,-1.9500000476837158,0.2121319971262634,11.537500381469727,0.26427946037328814,19.950000762939453,0.3201561671917289,25.9375,0.4029191903818786,28.637500762939453,0.35685270256582446,25.4375,0.2997396292914826,19.200000762939453,0.2549507325401107,9.15000057220459,0.18027745797330952,-3.8499999046325684,0.1000000089407489,-13.862500190734863,0.19324539986968386
BCC-CSM2-MR,2021 - 2040,4601,-6.590323171307964,0.3710098407505379,-0.4935483932495117,0.212413903320441,4.035484067855343,0.4146887145952485,15.458064909904234,0.529622009588053,22.806451612903224,0.5679250618295193,27.85483674080141,0.5405126934609394,30.567741147933468,0.5151804839271127,27.458062941028224,0.5247267373589558,21.783870573966734,0.4912768745344766,12.61935523248488,0.429868200341587,2.7548387588993197,0.26007285005069253,-3.990322482201361,0.2955092406925369
BCC-CSM2-MR,2021 - 2040,4604,-7.035441320082721,1.5043739702660286,-0.2892647687126608,2.315450537248519,5.046764777688419,2.6734734244389977,16.30338206571691,2.5696824295961647,23.70102969898897,2.6169046794128166,28.84470645680147,2.7122220489296263,31.664263556985293,2.7866967564896705,28.64882525275735,2.6554934922338043,22.75411735983456,2.57449262689444,13.242793543198529,2.2642505226245,3.3304414636948527,2.0067972329480703,-4.138088091681985,1.4731935690563724
BCC-CSM2-MR,2021 - 2040,4607,-5.508263510482318,0.9981925173689802,1.1333332649466037,1.308240778668078,5.33921561788778,1.6148392610009317,16.993418461134453,1.620439741376121,24.02156917454482,1.5422835157932522,29.70098039215686,1.633434482131353,32.89495798319328,1.6276161597753338,29.384172028186274,1.488683341500064,23.715546765581234,1.4968395562649932,14.195799413515406,1.4348442109247161,3.8780110677083335,1.2585977583290415,-3.769327457545518,0.9004342867112961
BCC-CSM2-MR,2021 - 2040,4610,-7.527198463861196,0.7494896167342726,-1.1453987230796268,0.9115843284498185,4.621676891615542,1.4088169785001619,16.198977105700408,1.4209860849659264,23.77116484534765,1.477896763944677,29.000203700153374,1.5376062450073666,31.637014314928425,1.515455537650333,28.665031074258692,1.488505398620836,22.5932507349182,1.4110197910909685,13.047239463509714,1.303227685662428,2.5928423360812882,0.9072362467624082,-5.100000299559049,0.5983617877225813
BCC-CSM2-MR,2021 - 2040,4613,-7.426554840686275,1.4480744160553183,-0.5322128167673319,1.653875464479369,4.678375568977591,1.8402754141897062,15.980336353291317,1.9775858515482105,22.78655462184874,2.1127354519735277,28.142240021008405,2.1439427025144204,30.980895483193276,2.2279178913390707,28.08078606442577,2.1131005208680955,22.169356179971988,2.0321717246925073,12.647282037815126,1.7438919933941552,2.749579831932773,1.3698682576185832,-5.624929971988795,1.2788695624625268
BCC-CSM2-MR,2021 - 2040,4616,-8.564539122525119,0.7395098850127301,-1.5680850775247488,0.5704279555286571,4.709456207058954,0.6169439309050399,16.28439670138889,0.633234403726824,23.995271867612292,0.5900485584068303,29.42576970670804,0.5611309205949837,32.017019429669034,0.5611484973142407,29.035225509751772,0.5249454144595811,22.991017010195037,0.5086621747360522,13.178960272606384,0.4989889081186998,2.148463472406915,0.4711449288784385,-5.979196679225768,0.4694872320281008
